Excecution time = 1.38023090363
Air time = 18.11968
Cut time = 80.236
Total cut time = 98.35568
[3500, 3500]
[350, 0] [350, 520]
[350, 520] [350, 572]
[350, 572] [1925, 572]
[1925, 572] [3500, 572]
[3500, 1144] [1925, 1144]
[1925, 1144] [350, 1144]
[350, 1144] [350, 1040]
[350, 1040] [0, 1040]
[0, 1560] [350, 1560]
[350, 1560] [350, 1716]
[350, 1716] [350, 2080]
[350, 2080] [350, 2288]
[350, 2288] [350, 2600]
[350, 2600] [350, 2860]
[350, 2860] [350, 3120]
[350, 3120] [0, 3120]
[0, 3268] [439, 3268]
[439, 3268] [439, 3384]
[439, 3384] [878, 3384]
[878, 3384] [878, 3268]
[878, 3268] [878, 3152]
[878, 3152] [1260, 3152]
[1260, 3152] [1317, 3152]
[1317, 3152] [1317, 3268]
[1317, 3268] [1756, 3268]
[1756, 3268] [2195, 3268]
[2195, 3268] [2634, 3268]
[2634, 3268] [2634, 3152]
[2634, 3152] [3073, 3152]
[3073, 3152] [3073, 3190]
[3073, 3384] [2634, 3384]
[2634, 3384] [2634, 3500]
[2195, 3500] [2195, 3384]
[2195, 3384] [2195, 3268]
[2195, 3268] [2195, 3152]
[2195, 3152] [2170, 3152]
[2170, 3152] [1756, 3152]
[1756, 3152] [1715, 3152]
[1715, 3152] [1317, 3152]
[1260, 3152] [1260, 2860]
[1715, 2860] [1260, 2860]
[1260, 2860] [805, 2860]
[805, 2860] [805, 3152]
[805, 3152] [878, 3152]
[805, 3152] [439, 3152]
[439, 3152] [350, 3152]
[439, 3152] [439, 3268]
[439, 3268] [878, 3268]
[878, 3268] [1317, 3268]
[1317, 3268] [1317, 3384]
[1317, 3384] [1317, 3500]
[1756, 3500] [1756, 3384]
[1756, 3384] [1756, 3268]
[1756, 3268] [1756, 3152]
[1715, 3152] [1715, 2860]
[1715, 2860] [1925, 2860]
[1925, 2860] [2170, 2860]
[2170, 2860] [2625, 2860]
[1925, 0] [1925, 572]
[1925, 572] [1925, 1144]
[1925, 1144] [1925, 1716]
[1925, 1716] [3500, 1716]
[3500, 2288] [1925, 2288]
[1925, 2288] [1925, 2860]
[2170, 2860] [2170, 3152]
[2195, 3152] [2625, 3152]
[2625, 3152] [2634, 3152]
[2625, 3152] [2625, 2860]
[2625, 2860] [3080, 2860]
[3080, 3152] [3080, 3025]
[3080, 3025] [3080, 2860]
[3080, 2860] [3490, 2860]
[3490, 2860] [3490, 3025]
[3490, 3025] [3490, 3190]
[3490, 3190] [3499, 3190]
[3499, 3190] [3499, 3500]
[3073, 3500] [3073, 3384]
[3073, 3384] [3073, 3268]
[3073, 3268] [3073, 3190]
[3073, 3190] [3080, 3190]
[3080, 3025] [3490, 3025]
[3500, 2860] [3490, 2860]
[3490, 3190] [3080, 3190]
[3080, 3190] [3080, 3152]
[3080, 3152] [3073, 3152]
[3073, 3268] [2634, 3268]
[2634, 3268] [2634, 3384]
[2634, 3384] [2195, 3384]
[2195, 3384] [1756, 3384]
[1756, 3384] [1317, 3384]
[1317, 3384] [878, 3384]
[878, 3384] [878, 3500]
[439, 3500] [439, 3384]
[439, 3384] [0, 3384]
[0, 3152] [350, 3152]
[350, 3152] [350, 3120]
[805, 2860] [350, 2860]
[350, 2600] [0, 2600]
[0, 2080] [350, 2080]
[350, 2288] [1925, 2288]
[1925, 2288] [1925, 1716]
[1925, 1716] [350, 1716]
[350, 1560] [350, 1144]
[350, 1040] [350, 572]
[350, 520] [0, 520]
