Excecution time = 0.131104946136
Air time = 2.88218
Cut time = 2.684
Total cut time = 5.56618
[250, 250]
[75, 172] [75, 108]
[75, 108] [75, 107]
[75, 107] [75, 86]
[75, 86] [75, 0]
[75, 108] [160, 108]
[160, 108] [160, 107]
[160, 107] [243, 107]
[243, 107] [246, 107]
[243, 0] [243, 107]
[246, 107] [246, 182]
[246, 182] [249, 182]
[249, 182] [249, 250]
[160, 174] [160, 182]
[160, 182] [155, 182]
[155, 182] [155, 250]
[246, 182] [160, 182]
[155, 182] [155, 174]
[155, 174] [75, 174]
[75, 174] [0, 174]
[0, 172] [75, 172]
[75, 172] [75, 174]
[155, 174] [160, 174]
[160, 174] [160, 108]
[160, 107] [75, 107]
[75, 86] [0, 86]
