Excecution time = 0.928442955017
Air time = 18.0998
Cut time = 71.682
Total cut time = 89.7818
[3500, 3500]
[520, 0] [520, 350]
[520, 350] [520, 549]
[520, 549] [2402, 549]
[2402, 1098] [2402, 1413]
[2402, 1413] [2951, 1413]
[2951, 1413] [3500, 1413]
[2402, 2196] [520, 2196]
[520, 2196] [520, 2100]
[520, 2196] [520, 2450]
[520, 2450] [520, 2745]
[520, 2450] [0, 2450]
[0, 2100] [520, 2100]
[520, 2100] [520, 1750]
[520, 1647] [2402, 1647]
[2402, 1647] [2402, 1413]
[2402, 1647] [2402, 2196]
[2402, 2196] [2402, 2745]
[2402, 2745] [520, 2745]
[520, 2745] [520, 2800]
[1040, 3295] [1040, 3500]
[1560, 3500] [1560, 3295]
[1560, 3295] [2080, 3295]
[2080, 3295] [2080, 3500]
[1560, 3295] [1040, 3295]
[1040, 3295] [520, 3295]
[520, 3500] [520, 3295]
[520, 3295] [520, 3294]
[520, 3294] [520, 3150]
[520, 3150] [520, 2800]
[520, 2800] [0, 2800]
[0, 3150] [520, 3150]
[520, 3294] [2402, 3294]
[2600, 3500] [2600, 3295]
[2600, 3295] [2402, 3295]
[2600, 3295] [3081, 3295]
[3081, 3295] [3120, 3295]
[3120, 3295] [3498, 3295]
[3498, 3295] [3498, 3300]
[3498, 3300] [3120, 3300]
[3081, 2995] [3491, 2995]
[3491, 2995] [3498, 2995]
[3500, 2826] [2951, 2826]
[3081, 2828] [3081, 2830]
[3081, 2830] [3081, 2995]
[3081, 2995] [3081, 3295]
[3120, 3295] [3120, 3300]
[3120, 3300] [3120, 3500]
[3498, 3500] [3498, 3300]
[3498, 3295] [3498, 2995]
[3491, 2995] [3491, 2830]
[3491, 2830] [3081, 2830]
[3081, 2828] [2402, 2828]
[2402, 2826] [2402, 2745]
[2080, 3295] [2402, 3295]
[2402, 3295] [2402, 3294]
[2402, 3294] [2402, 2828]
[2402, 2828] [2402, 2826]
[2402, 2826] [2951, 2826]
[2951, 2826] [2951, 1413]
[2951, 1413] [2951, 0]
[2402, 0] [2402, 549]
[2402, 549] [2402, 1098]
[2402, 1098] [520, 1098]
[520, 1098] [520, 1050]
[520, 1050] [520, 700]
[520, 700] [0, 700]
[0, 1050] [520, 1050]
[520, 1098] [520, 1400]
[520, 1400] [520, 1647]
[520, 1647] [520, 1750]
[520, 1750] [0, 1750]
[0, 1400] [520, 1400]
[520, 700] [520, 549]
[520, 350] [0, 350]
