Excecution time = 6.38133788109
Air time = 16.8164
Cut time = 134.176
Total cut time = 150.9924
[3000, 3000]
[148, 200] [148, 400]
[148, 400] [526, 400]
[526, 400] [904, 400]
[904, 400] [1282, 400]
[1282, 400] [1282, 200]
[1282, 200] [1282, 0]
[1660, 0] [1660, 200]
[1660, 200] [1282, 200]
[1282, 200] [904, 200]
[904, 200] [904, 400]
[904, 400] [904, 600]
[904, 600] [904, 800]
[904, 800] [904, 1000]
[904, 1000] [526, 1000]
[526, 1000] [526, 1200]
[526, 1200] [904, 1200]
[904, 1200] [904, 1000]
[904, 1000] [1282, 1000]
[1282, 1000] [1282, 800]
[1282, 800] [1282, 600]
[1282, 600] [1282, 400]
[1282, 400] [1660, 400]
[1660, 400] [2038, 400]
[2038, 400] [2038, 600]
[2038, 600] [2038, 800]
[2038, 800] [2038, 1000]
[2038, 1000] [2038, 1200]
[2038, 1200] [1660, 1200]
[1660, 1200] [1660, 1400]
[1660, 1400] [2038, 1400]
[2038, 1400] [2038, 1600]
[2038, 1600] [2416, 1600]
[2416, 1600] [2416, 1800]
[2416, 1800] [2038, 1800]
[2038, 1800] [2038, 2000]
[2038, 2000] [2416, 2000]
[2416, 2000] [2794, 2000]
[2794, 2000] [2794, 2080]
[2794, 2080] [2794, 2200]
[2794, 2200] [2794, 2400]
[2794, 2400] [2794, 2600]
[2794, 2600] [2794, 2622]
[2794, 2622] [2794, 2800]
[2794, 2622] [2994, 2622]
[2994, 2622] [2994, 3000]
[2794, 3000] [2794, 2800]
[2794, 2800] [2416, 2800]
[2416, 2800] [2416, 3000]
[2038, 3000] [2038, 2800]
[2038, 2800] [2038, 2600]
[2038, 2600] [2038, 2400]
[2038, 2400] [2038, 2200]
[2038, 2200] [2038, 2000]
[2038, 2000] [1660, 2000]
[1660, 2000] [1282, 2000]
[1282, 2000] [1282, 1800]
[1282, 1800] [1660, 1800]
[1660, 1800] [1660, 1600]
[1660, 1600] [1660, 1400]
[1660, 1400] [1282, 1400]
[1282, 1400] [904, 1400]
[904, 1400] [526, 1400]
[526, 1400] [148, 1400]
[148, 1400] [148, 1275]
[148, 1275] [0, 1275]
[148, 1200] [148, 1275]
[148, 1400] [148, 1600]
[148, 1600] [148, 1700]
[148, 1700] [148, 1800]
[148, 1800] [148, 2000]
[148, 2000] [526, 2000]
[526, 2000] [526, 2200]
[526, 2200] [526, 2400]
[526, 2400] [148, 2400]
[148, 2800] [148, 2600]
[148, 2600] [148, 2550]
[148, 2550] [148, 2400]
[148, 2400] [148, 2200]
[148, 2200] [148, 2125]
[148, 2125] [148, 2000]
[0, 2125] [148, 2125]
[148, 2200] [526, 2200]
[526, 2200] [904, 2200]
[904, 2200] [1282, 2200]
[1282, 2200] [1282, 2400]
[1282, 2400] [1282, 2600]
[1282, 2600] [1282, 2800]
[1282, 2800] [904, 2800]
[904, 2800] [526, 2800]
[526, 2800] [148, 2800]
[148, 2800] [148, 2975]
[148, 2975] [148, 3000]
[148, 2975] [0, 2975]
[0, 2550] [148, 2550]
[148, 2600] [526, 2600]
[526, 2600] [904, 2600]
[904, 2600] [1282, 2600]
[1282, 2600] [1660, 2600]
[1660, 2600] [2038, 2600]
[2038, 2600] [2416, 2600]
[2416, 2600] [2416, 2400]
[2416, 2400] [2416, 2200]
[2416, 2200] [2038, 2200]
[2038, 2200] [1660, 2200]
[1660, 2200] [1660, 2400]
[1660, 2400] [1660, 2600]
[1660, 2600] [1660, 2800]
[1660, 2800] [1282, 2800]
[1282, 2800] [1282, 3000]
[1660, 3000] [1660, 2800]
[1660, 2800] [2038, 2800]
[2038, 2800] [2416, 2800]
[2416, 2800] [2416, 2600]
[2416, 2600] [2794, 2600]
[2794, 2600] [2999, 2600]
[2999, 2600] [2999, 2080]
[2999, 2080] [2999, 1560]
[2999, 1560] [2794, 1560]
[2794, 1560] [2794, 1400]
[2794, 1400] [2794, 1200]
[2794, 1200] [2416, 1200]
[2416, 1200] [2416, 1000]
[2416, 1000] [2794, 1000]
[2794, 1000] [2794, 800]
[2794, 600] [2794, 520]
[2794, 520] [2999, 520]
[2999, 520] [2999, 0]
[2794, 0] [2794, 200]
[2794, 200] [2416, 200]
[2416, 200] [2416, 0]
[2038, 0] [2038, 200]
[2038, 200] [2038, 400]
[2038, 400] [2416, 400]
[2416, 400] [2794, 400]
[2794, 400] [2794, 200]
[2794, 400] [2794, 520]
[2999, 520] [2999, 1040]
[2999, 1040] [2794, 1040]
[2794, 1040] [2794, 1000]
[2794, 1040] [2794, 1200]
[2999, 1040] [2999, 1560]
[2794, 1600] [2794, 1560]
[2794, 1400] [2416, 1400]
[2416, 1400] [2038, 1400]
[2038, 1400] [2038, 1200]
[2038, 1200] [2416, 1200]
[2416, 1200] [2416, 1400]
[2416, 1400] [2416, 1600]
[2416, 1600] [2794, 1600]
[2794, 1600] [2794, 1800]
[2999, 2080] [2794, 2080]
[2794, 2000] [2794, 1800]
[2794, 1800] [2416, 1800]
[2416, 1800] [2416, 2000]
[2416, 2000] [2416, 2200]
[2416, 2200] [2794, 2200]
[2794, 2400] [2416, 2400]
[2416, 2400] [2038, 2400]
[2038, 2400] [1660, 2400]
[1660, 2400] [1282, 2400]
[1282, 2400] [904, 2400]
[904, 2400] [904, 2600]
[904, 2600] [904, 2800]
[904, 2800] [904, 3000]
[526, 3000] [526, 2800]
[526, 2800] [526, 2600]
[526, 2600] [526, 2400]
[526, 2400] [904, 2400]
[904, 2400] [904, 2200]
[904, 2200] [904, 2000]
[904, 2000] [904, 1800]
[904, 1800] [1282, 1800]
[1282, 1800] [1282, 1600]
[1282, 1600] [904, 1600]
[904, 1600] [904, 1400]
[904, 1400] [904, 1200]
[904, 1200] [1282, 1200]
[1282, 1200] [1282, 1400]
[1282, 1400] [1282, 1600]
[1282, 1600] [1660, 1600]
[1660, 1600] [2038, 1600]
[2038, 1600] [2038, 1800]
[2038, 1800] [1660, 1800]
[1660, 1800] [1660, 2000]
[1660, 2000] [1660, 2200]
