Excecution time = 1.14514899254
Air time = 16.18784
Cut time = 88.414
Total cut time = 104.60184
[3500, 3500]
[0, 724] [560, 724]
[560, 724] [560, 1086]
[560, 1086] [560, 1320]
[560, 1086] [0, 1086]
[0, 1448] [560, 1448]
[560, 1448] [560, 1320]
[560, 1320] [1050, 1320]
[1050, 1320] [1540, 1320]
[1540, 1320] [2030, 1320]
[2030, 1320] [2030, 1980]
[2030, 1980] [1540, 1980]
[1540, 1980] [1540, 1320]
[1540, 1320] [1540, 660]
[1540, 660] [2030, 660]
[2030, 660] [2030, 1320]
[2030, 1320] [2520, 1320]
[2520, 1320] [2520, 660]
[2520, 660] [3010, 660]
[3010, 660] [3010, 1320]
[3010, 1320] [2520, 1320]
[2520, 1320] [2520, 1980]
[2520, 1980] [2030, 1980]
[2030, 1980] [2030, 2640]
[2030, 2640] [1540, 2640]
[1540, 2640] [1050, 2640]
[1050, 2640] [560, 2640]
[560, 2640] [560, 2534]
[560, 2534] [0, 2534]
[0, 2172] [560, 2172]
[560, 2172] [560, 2534]
[560, 2640] [560, 2896]
[560, 2896] [560, 3258]
[560, 3258] [0, 3258]
[0, 2896] [560, 2896]
[560, 3258] [560, 3300]
[560, 3300] [817, 3300]
[817, 3300] [817, 3500]
[439, 3500] [439, 3384]
[439, 3268] [0, 3268]
[0, 3384] [439, 3384]
[439, 3384] [439, 3300]
[439, 3300] [439, 3268]
[439, 3300] [560, 3300]
[817, 3300] [1050, 3300]
[1050, 3300] [1195, 3300]
[1195, 3300] [1195, 3500]
[1573, 3500] [1573, 3300]
[1573, 3300] [1540, 3300]
[1540, 3300] [1195, 3300]
[1050, 3300] [1050, 2640]
[1050, 2640] [1050, 1980]
[1050, 1980] [1050, 1320]
[1050, 1320] [1050, 660]
[1050, 660] [1050, 0]
[560, 0] [560, 362]
[560, 362] [560, 660]
[560, 660] [560, 724]
[560, 1448] [560, 1810]
[560, 1810] [560, 1980]
[560, 1810] [0, 1810]
[560, 2172] [560, 1980]
[560, 1980] [1050, 1980]
[1050, 1980] [1540, 1980]
[1540, 1980] [1540, 2640]
[1540, 2640] [1540, 3300]
[1573, 3300] [1951, 3300]
[1951, 3300] [1951, 3500]
[1951, 3300] [2030, 3300]
[2030, 3300] [2329, 3300]
[2329, 3300] [2329, 3500]
[2707, 3500] [2707, 3300]
[2707, 3300] [2520, 3300]
[2707, 3300] [3010, 3300]
[3010, 3300] [3085, 3300]
[3085, 3300] [3463, 3300]
[3463, 3300] [3463, 3500]
[3500, 3300] [3463, 3300]
[3085, 3500] [3085, 3300]
[3010, 3300] [3010, 2640]
[3010, 2640] [2520, 2640]
[2520, 2640] [2520, 3300]
[2520, 3300] [2329, 3300]
[2030, 3300] [2030, 2640]
[2030, 2640] [2520, 2640]
[2520, 2640] [2520, 1980]
[2520, 1980] [3010, 1980]
[3010, 1980] [3500, 1980]
[3500, 2640] [3010, 2640]
[3010, 2640] [3010, 1980]
[3010, 1980] [3010, 1320]
[3010, 1320] [3500, 1320]
[3500, 660] [3010, 660]
[3010, 660] [3010, 0]
[2520, 0] [2520, 660]
[2520, 660] [2030, 660]
[2030, 660] [2030, 0]
[1540, 0] [1540, 660]
[1540, 660] [1050, 660]
[1050, 660] [560, 660]
[560, 362] [0, 362]
