Instance 	 Excecution 	 Cut time 	 Air time 	 Total cut 	 Total 
1	0.0975868701935	1.444	2.678	4.122	4.21958687019
2	0.131104946136	2.684	2.88218	5.56618	5.69728494614
3	0.0327711105347	1.948	2.38286	4.33086	4.36363111053
4	0.074492931366	2.318	3.29927	5.61727	5.69176293137
5	0.0221121311188	3.984	2.47699	6.46099	6.48310213112
6	0.0397419929504	4.902	2.50108	7.40308	7.44282199295
7	0.0239140987396	3.558	1.93152	5.48952	5.51343409874
8	0.0336511135101	4.02	2.11969	6.13969	6.17334111351
9	0.0373780727386	9.876	3.246	13.122	13.1593780727
10	0.0245108604431	7.878	2.13877	10.01677	10.0412808604
11	0.0408420562744	9.906	4.89718	14.80318	14.8440220563
12	0.0275750160217	7.956	2.83895	10.79495	10.822525016
13	6.38133788109	134.176	16.8164	150.9924	157.373737881
14	1.38023090363	80.236	18.11968	98.35568	99.7359109036
15	1.16906905174	88.414	16.18784	104.60184	105.770909052
16	1.47897005081	93.928	20.75272	114.68072	116.159690051
17	0.895426988602	71.682	18.0998	89.7818	90.6772269886
