Instance 	 Excecution 	 Cut time 	 Air time 	 Total cut 	 Total 
1	0.0367960929871	1.444	2.678	4.122	4.15879609299
2	0.112299919128	2.684	2.88218	5.56618	5.67847991913
3	0.0314149856567	1.948	2.38286	4.33086	4.36227498566
4	0.0750658512115	2.318	3.29927	5.61727	5.69233585121
5	0.0221021175385	3.984	2.47699	6.46099	6.48309211754
6	0.0371270179749	4.902	2.50108	7.40308	7.44020701797
7	0.0261168479919	3.558	1.93152	5.48952	5.51563684799
8	0.0316970348358	4.02	2.11969	6.13969	6.17138703484
9	0.0280940532684	9.876	3.246	13.122	13.1500940533
10	0.0274260044098	7.878	2.13877	10.01677	10.0441960044
11	0.0425050258636	9.906	4.89718	14.80318	14.8456850259
12	0.0273520946503	7.956	2.83895	10.79495	10.8223020947
13	6.29018306732	134.176	16.8164	150.9924	157.282583067
14	1.3681371212	80.236	18.11968	98.35568	99.7238171212
15	1.16830420494	88.414	16.18784	104.60184	105.770144205
16	1.5298640728	93.928	20.75272	114.68072	116.210584073
17	0.888742923737	71.682	18.0998	89.7818	90.6705429237
